"SELECT * FROM Parking WHERE valor=0 AND asignado=0 ORDER BY id_controlador ASC, id_sensor ASC",2023-11-02 22:01:14.339831,2023-11-02 22:01:14.340828,2.4373536109924316,42
"SELECT * FROM Parking WHERE valor=0 ORDER BY id_controlador ASC, id_sensor ASC",2023-11-02 22:01:14.406692,2023-11-02 22:01:14.407694,2.5042154788970947,88
SELECT * FROM Parking WHERE id_controlador=2 ORDER BY id_sensor,2023-11-02 22:01:14.412696,2023-11-02 22:01:14.413695,2.509218454360962,38
SELECT * FROM Parking WHERE id_controlador=1 ORDER BY id_sensor,2023-11-02 22:01:14.444698,2023-11-02 22:01:14.445693,2.5402164459228516,38
SELECT * FROM Parking WHERE id_controlador=3 ORDER BY id_sensor,2023-11-02 22:01:14.444698,2023-11-02 22:01:14.445693,2.5402164459228516,38
SELECT * FROM Parking WHERE id_controlador=4 ORDER BY id_sensor,2023-11-02 22:01:14.454697,2023-11-02 22:01:14.455691,2.5512189865112305,38
SELECT * FROM Parking WHERE id_controlador=3 ORDER BY id_sensor,2023-11-02 22:01:23.788669,2023-11-02 22:01:23.789665,1.892249345779419,38
SELECT * FROM Parking WHERE id_controlador=1 ORDER BY id_sensor,2023-11-02 22:01:23.901665,2023-11-02 22:01:23.918665,2.0052454471588135,38
"SELECT * FROM Parking WHERE valor=0 ORDER BY id_controlador ASC, id_sensor ASC",2023-11-02 22:01:23.905666,2023-11-02 22:01:23.924667,1.9948687553405762,88
SELECT * FROM Parking WHERE id_controlador=5 ORDER BY id_sensor,2023-11-02 22:01:23.909667,2023-11-02 22:01:23.925668,2.0142662525177,38
SELECT * FROM Parking WHERE id_controlador=4 ORDER BY id_sensor,2023-11-02 22:01:23.905666,2023-11-02 22:01:23.926678,2.010265588760376,38
SELECT * FROM Parking WHERE id_controlador=2 ORDER BY id_sensor,2023-11-02 22:01:23.953668,2023-11-02 22:01:23.954666,2.058267116546631,38
"SELECT id, username, placa, correo, tipe FROM Usuarios ORDER BY id",2023-11-02 22:01:24.009668,2023-11-02 22:01:24.028667,2.0988707542419434,10
"SELECT * FROM Parking WHERE valor=0 AND asignado=0 ORDER BY id_controlador ASC, id_sensor ASC",2023-11-02 22:01:24.028667,2023-11-02 22:01:24.033668,2.1178698539733887,42
"SELECT id, username, placa, correo, tipe FROM Usuarios ORDER BY id",2023-11-02 22:01:33.766551,2023-11-02 22:01:33.766551,1.857362985610962,10
"SELECT * FROM Parking WHERE valor=0 ORDER BY id_controlador ASC, id_sensor ASC",2023-11-02 22:01:34.194062,2023-11-02 22:01:34.194062,2.284874439239502,88
SELECT * FROM Parking WHERE id_controlador=2 ORDER BY id_sensor,2023-11-02 22:01:34.198064,2023-11-02 22:01:34.199085,2.303898811340332,38
